"","Company.Name","Address","City","State","ZIP.Code","Phone.Number.Combined","Primary.SIC.Code","Primary.SIC.Description","SIC.Code.1","SIC.Code.1.Description","Latitude","Longitude"
"1","3 M S Enterprises LLC","2938 Capital Blvd","Raleigh","NC",27604,"(919) 790-8515",541103,"Convenience Stores",541103,"Convenience Stores",35.819702,-78.593078
"2","32 Degrees A Yogurt Bar","1018 Shoppes At Midway Dr # E","Knightdale","NC",27545,"(919) 266-4115",545102,"Yogurt",545102,"Yogurt",35.798097,-78.505642
"3","5110 Market & Cafe","5110 NC Highway 96 N","Selma","NC",27576,"(919) 965-3665",541103,"Convenience Stores",541103,"Convenience Stores",35.605173,-78.295002
"4","70 West Exxon Convenience","6712 Glenwood Ave","Raleigh","NC",27612,"(919) 781-1831",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.861511,-78.709289
"5","A & C Supermarket","3210 S Wilmington St # 131","Raleigh","NC",27603,"(919) 232-2288",541105,"Grocers-Retail",541105,"Grocers-Retail",35.736825,-78.65149
"6","A & H KWIK Mart","2655 N Webb St","Selma","NC",27576,"(919) 202-8222",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.554182,-78.2648
"7","A & K Food Mart","1307 E Williams St","Apex","NC",27502,"(919) 362-1655",541105,"Grocers-Retail",541103,"Convenience Stores",35.715818,-78.840526
"8","A & K II","601 W Williams St","Apex","NC",27502,"(919) 303-5101",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.733528,-78.861534
"9","A & S Intl Market","663 Cary Towne Blvd","Cary","NC",27511,"(919) 388-4464",541105,"Grocers-Retail",541105,"Grocers-Retail",35.775693,-78.765903
"10","A G Lee Oil Co","110 Roxy Dr","Selma","NC",27576,"(919) 934-6013",874130,"Management Services",541103,"Convenience Stores",35.52357,-78.303481
"11","A J's Food Mart","6204 Ten Ten Rd","Apex","NC",27539,"(919) 779-3900",541103,"Convenience Stores",541103,"Convenience Stores",35.676696,-78.736694
"12","A J's Grill & Subs","503 Bragg St","Raleigh","NC",27601,"(919) 821-5349",541103,"Convenience Stores",541103,"Convenience Stores",35.765948,-78.632449
"13","A Simpler Time Inc","518 Saint Peter St","Morrisville","NC",27560,"(504) 581-6612",541105,"Grocers-Retail",541105,"Grocers-Retail",35.826592,-78.831599
"14","A Z Shop N Go","2113 US Highway 70a E","Hillsborough","NC",27278,"(919) 245-1916",541103,"Convenience Stores",541103,"Convenience Stores",36.057362,-79.055215
"15","A&C Knightdale Exxon","7202 Knightdale Blvd","Knightdale","NC",27545,"(919) 266-7482",554101,"Service Stations-Gasoline & Oil",541103,"Convenience Stores",35.797912,-78.486999
"16","A2z Food Mart","211 S Arendell Ave","Zebulon","NC",27597,"(919) 269-9450",541103,"Convenience Stores",541103,"Convenience Stores",35.819519,-78.310607
"17","Academy Quick Stop","3006 Academy Rd","Durham","NC",27707,"(919) 489-2089",541103,"Convenience Stores",541103,"Convenience Stores",35.971015,-78.943562
"18","Acme Quiz Products","7929 Foxwood Dr","Raleigh","NC",27615,"(919) 518-8096",541105,"Grocers-Retail",541105,"Grocers-Retail",35.887979,-78.653507
"19","Adam Mini-Mart","614 Lakeland St","Durham","NC",27701,"(919) 381-5351",541103,"Convenience Stores",541103,"Convenience Stores",35.976615,-78.889741
"20","Adam's Store","3302 Cheek Rd","Durham","NC",27704,"(919) 294-6062",541103,"Convenience Stores",541103,"Convenience Stores",36.012998,-78.824317
"21","Affordable Designs","10700 Chapel Hill Blvd","Cary","NC",27513,"(919) 462-0074",541103,"Convenience Stores",541103,"Convenience Stores",35.795272,-78.80091
